Removed Pin From Net: NetName=CAN_N Pin=J9-2
Removed Pin From Net: NetName=CAN_INH Pin=R6-1
Removed Pin From Net: NetName=PRE_VCC_SENSE Pin=U2-4
Removed Pin From Net: NetName=VCC_SENSE Pin=U2-5
Removed Pin From Net: NetName=PRE_12V_SENSE Pin=U2-6
Removed Pin From Net: NetName=12V_SENSE Pin=U2-7
Removed Pin From Net: NetName=INT_3V3_SENSE Pin=U2-8
Removed Pin From Net: NetName=INT_5V_SENSE Pin=U2-9
Change Component Footprint: Designator=J9 Old Footprint=FP-43650-0201-MFG New Footprint=FP-455580003-MFG
Change Component Comment : Designator=J9 Old Comment=43650-0201 New Comment=455580003
Change Managed Component Library Link : Designator=J9 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=ECE96586-FDFF-4973-803F-0E3E0A3A169E New ItemGUID=B10C249F-5E6C-4CA1-8E15-DDD4CFB2832A Old RevisionGUID=C0F7BCD0-B540-49AC-8392-81B3E0344421 New RevisionGUID=BE1DC095-79E4-4677-916A-97B751BAA263
Change component parameters: Designator = "J9" ("J9"); Footprint = "FP-43650-0201-MFG"; UniqueID = "\QYVQENWB" ("\QYVQENWB")
Added Net: Name=12V_INH
Added Pin To Net: NetName=M1234_TEMP Pin=R41_MOSFET_BANK3-1
Added Pin To Net: NetName=M1234_TEMP Pin=R46_MOSFET_BANK3-2
Added Pin To Net: NetName=M1234_TEMP Pin=U2-9
Added Net: Name=M1234_TEMP
Added Pin To Net: NetName=M5678_TEMP Pin=R41_MOSFET_BANK2-1
Added Pin To Net: NetName=M5678_TEMP Pin=R46_MOSFET_BANK2-2
Added Pin To Net: NetName=M5678_TEMP Pin=U2-10
Added Net: Name=M5678_TEMP
Added Pin To Net: NetName=M9101112_TEMP Pin=R41_MOSFET_BANK1-1
Added Pin To Net: NetName=M9101112_TEMP Pin=R46_MOSFET_BANK1-2
Added Pin To Net: NetName=M9101112_TEMP Pin=U2-11
Added Net: Name=M9101112_TEMP
Added Pin To Net: NetName=NetD5_2 Pin=D5-2
Added Pin To Net: NetName=NetD5_2 Pin=D6-2
Added Pin To Net: NetName=NetD5_2 Pin=R6-1
Added Net: Name=NetD5_2
Added Member To Class: ClassName=STM32H730_PINOUT Member=Component C34 C0805C225K9PACTU
Added Member To Class: ClassName=STM32H730_PINOUT Member=Component C35 C0402C104K8PACTU
Added Member To Class: ClassName=PWR_MGMT Member=Component D5 1N4148W-7-F
Added Member To Class: ClassName=PWR_MGMT Member=Component D6 1N4148W-7-F
Added Member To Class: ClassName=MOSFET_BANK1 Member=Component R41_MOSFET_BANK1 (R41) ERT-J1VR103J
Added Member To Class: ClassName=MOSFET_BANK2 Member=Component R41_MOSFET_BANK2 (R41) ERT-J1VR103J
Added Member To Class: ClassName=MOSFET_BANK3 Member=Component R41_MOSFET_BANK3 (R41) ERT-J1VR103J
Added Member To Class: ClassName=MOSFET_BANK1 Member=Component R46_MOSFET_BANK1 (R46) ERJ-3EKF1001V
Added Member To Class: ClassName=MOSFET_BANK2 Member=Component R46_MOSFET_BANK2 (R46) ERJ-3EKF1001V
Added Member To Class: ClassName=MOSFET_BANK3 Member=Component R46_MOSFET_BANK3 (R46) ERJ-3EKF1001V
Added Member To Class: ClassName=STM32H730_PINOUT Member=Component R50 ERJ3EKF1002V
Added Member To Class: ClassName=STM32H730_PINOUT Member=Component R51 ERJ3EKF1002V
Added Member To Class: ClassName=STM32H730_PINOUT Member=Component U10 AP7381-50Y-13
